id,engine,temperature,original,reference,translation,BLEU,ROUGE-1,ROUGE-L
0,ollama:llama3,0.0,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,Il arriva à notre maison le dimanche de novembre 189-.,36.46285861936466,0.6666666666666666,0.6666666666666666
0,hf:opus-mt-en-fr,0.0,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,Il est arrivé à notre maison un dimanche de novembre 189-.,39.553325358771794,0.631578947368421,0.631578947368421
0,ollama:llama3,0.2,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,Il arriva à notre maison le dimanche de novembre 189-.,36.46285861936466,0.6666666666666666,0.6666666666666666
0,hf:opus-mt-en-fr,0.2,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,Il est arrivé chez nous un dimanche de novembre 189.,59.00468726392806,0.8421052631578948,0.8421052631578948
0,ollama:llama3,0.5,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,Il est arrivé à notre maison le dimanche du mois de novembre 189-.,18.20705281109213,0.4761904761904762,0.4761904761904762
0,hf:opus-mt-en-fr,0.5,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,Il est arrivé à notre maison un dimanche de novembre 189-.,39.553325358771794,0.631578947368421,0.631578947368421
0,ollama:llama3,0.8,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,Il est arrivé à notre maison le dimanche de novembre 189-,33.18077402843942,0.5263157894736842,0.5263157894736842
0,hf:opus-mt-en-fr,0.8,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,"Il est arrivé à notre maison un dimanche de novembre, 189-.",21.97281387499716,0.631578947368421,0.631578947368421
0,ollama:llama3,1.0,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,Il est arrivé chez nous le dimanche du mois de novembre 189-.,22.718709780542323,0.6666666666666666,0.6666666666666666
0,hf:opus-mt-en-fr,1.0,"He arrived at our home on a Sunday of November, 189-.",Il arriva chez nous un dimanche de novembre 189-…,"Il est arrivé à notre maison un dimanche de novembre, 189",23.462350320527996,0.631578947368421,0.631578947368421
